idx,cluster,dpo_side,dpo_model,rubric_gap,dpo_rubric,opp_rubric,dpo_metaphor,opp_metaphor,question
30,1,b,scicomma-3.1-dpo_prompt,0.13646875381318363,0.5432548572508871,0.40678610343770344,0.9706877702556036,0.2227001439842336,is 4/4 timing the most popular time signature in all cultures?
32,1,b,scicomma-3.1-dpo_prompt,0.02263860456880762,0.7192095160791793,0.6965709115103716,0.9399133561377042,0.7549149923816049,is it more efficient to dry clothes on high?
36,1,a,scicomma-3.1-dpo_prompt,0.0036265710746127278,0.6240030777245745,0.6203765066499618,1.0,1.0,"what happens in the brain when a music album ""grows"" on you?"
38,1,a,scicomma-3.1-dpo_prompt,0.014853488851289676,0.7055720564951549,0.6907185676438652,0.8807970764133563,1.0,"if a proton is one down and two up quarks, and a neutron is two down and one up quarks, then how does combining a proton with an electron (a lepton) make a neutron? is the lepton somehow turned into a down quark?"
44,1,b,scicomma-3.1-dpo_prompt,0.012497827769843095,0.6011424197845757,0.5886445920147326,1.0,1.0,"when you build a tolerance to alcohol, does your body get better at removing it, better at functioning with it, or just better at not feeling it?"
46,1,b,scicomma-3.1-dpo_prompt,0.09679955012438102,0.6966812452458283,0.5998816951214473,0.9669140219688264,0.9890130590796806,why do i unconsciously emulate the accent of those around me?
47,1,a,scicomma-3.1-dpo_prompt,0.06148864330910553,0.6899011404443578,0.6284124971352523,0.92414182050107,0.982013790005009,"how do fish heal underwater? why don't they bleed to death? also, are there less infections for underwater cuts?"
49,1,a,scicomma-3.1-dpo_prompt,0.04272965510564153,0.5790923904738373,0.5363627353681958,1.0,1.0,"if i wake up from sleep, and try to go back to sleep, does my ""sleep cycle"" reset, or pick up where it left off?"
53,1,a,scicomma-3.1-dpo_prompt,0.0009498742350086964,0.4227954322988185,0.4218455580638098,0.2942149721629887,0.0,"do animals that use tools ever display some thought of ""this tool *in particular* is the best of its kind"" and keep them, or do they generally always just make a new one every time they need one?"
55,1,b,scicomma-3.1-dpo_prompt,0.09951286647189383,0.7057822577442586,0.6062693912723648,0.6513548646660542,0.4073334000459302,why are clouds relatively flat toward the bottom?
64,2,a,scicomma-3.1-dpo,0.041266010137053166,0.25856461486646926,0.2172986047294161,0.0,0.0,what exactly is happening (physio-chemically speaking) during a convulsive orgasm?
66,2,a,scicomma-3.1-dpo,0.07424943116026833,0.22673489878650335,0.15248546762623502,0.0124316511619023,0.0,"does muscle make you more resistant to piercing wounds (shot, stabbed)? does fat?"
67,2,a,scicomma-3.1-dpo,0.29953928092753646,0.5217447521288592,0.22220547120132275,0.9399133447766224,0.0,how does a website know a credit card number is invalid?
70,2,b,scicomma-3.1-dpo,0.048055055403987273,0.24801895372992214,0.19996389832593486,0.0,0.0,does antimatter visually look the same as matter?
78,2,b,scicomma-3.1-dpo,0.05049321224954484,0.2366073893694429,0.18611417711989806,0.0,0.0,why doesn't sand stick to players during olympic beach volleyball?
80,2,b,scicomma-3.1-dpo,0.10986795709598637,0.27184663798136494,0.16197868088537856,0.0,0.0,"if it were raining on a planet in a binary system, i.e. with two stars, could there be two, non-concentric rainbows in the sky?"
81,2,a,scicomma-3.1-dpo,0.18366343988020575,0.4140661612612457,0.23040272138103993,0.1192029157640123,0.0,what happens to the energy dissipated by the magnetron when there is nothing inside a powered microwave oven?
84,2,b,scicomma-3.1-dpo,0.3410762294979739,0.5464897780985051,0.2054135486005312,0.977022628584624,0.0,which toe is most important to have in order to maintain a regular gait?
85,2,b,scicomma-3.1-dpo,0.35008998132002783,0.5161274614801789,0.16603748016015102,0.5312093733737562,0.0,can polar and nonpolar molecules ever mix?
88,2,b,scicomma-3.1-dpo,0.017824901071373273,0.2313659994686609,0.21354109839728763,0.0,0.0,"how much air, if any, gets lost during normal usage of an airlock in space?"
89,2,b,scicomma-3.1-dpo,0.021015705073539642,0.19112362068779254,0.1701079156142529,0.0,0.0,isn't it not technically correct to say there are four fundamental forces anymore?
90,3,b,scicomma-3.1-dpo_prompt,0.38378517998113915,0.5872404380986732,0.2034552581175341,0.9149009636941992,0.0,would aliens understand a message from earth that relied on prime-numbers if they used a base other than 10?
91,3,b,scicomma-3.1-dpo_prompt,0.019332306853341308,0.5643103294171126,0.5449780225637713,0.8807970795424088,0.9525741291785796,how does the large hadron collider work?
92,3,b,scicomma-3.1-dpo_prompt,0.20848579511078058,0.5562088682826312,0.3477230731718506,0.95791227043229,0.0,"what forms of renewable energy are available to us in space, other than solar energy?"
93,3,b,scicomma-3.1-dpo_prompt,0.2897929563699113,0.5262599163174063,0.23646695994749498,1.0,0.0,is the sleep you get after being really drunk (i.e. passing out) the same as a regular night’s sleep?
94,3,b,scicomma-3.1-dpo_prompt,0.34349337762549476,0.6087666069192003,0.2652732292937055,1.0,0.0,"why is it that people can't eat most raw meats without getting food poisoning, but carnivores can?"
98,3,a,scicomma-3.1-dpo_prompt,0.29889786519555195,0.4940853726041452,0.19518750740859328,1.0,0.0,what has been/will be the eventual fate of all our space probes?
99,3,a,scicomma-3.1-dpo_prompt,0.008703870698640759,0.5401757436883581,0.5314718729897173,1.0,0.966914021492119,can dark matter form planet like objects?
100,3,a,scicomma-3.1-dpo_prompt,0.31617242181112526,0.5842631593332851,0.26809073752215984,0.4687906266262437,0.0,"if light requires time to travel, then is everything that we see actually the past?"
101,3,b,scicomma-3.1-dpo_prompt,0.17860641378938524,0.6937965058656547,0.5151900920762694,0.9999999999999998,0.1329642522229663,does coffee at the bottom of the bottom of the pot contain more caffeine?
102,3,b,scicomma-3.1-dpo_prompt,0.15178877010372974,0.38563201904280703,0.2338432489390773,0.0420877235601058,0.0124316525911455,do animals know when a storm or hurricane is coming?
104,3,a,scicomma-3.1-dpo_prompt,0.3637466494140559,0.5829023525369577,0.21915570312290175,1.0,0.0,how close are we to end aging?
105,3,b,scicomma-3.1-dpo_prompt,0.3052201920193434,0.6945951538884735,0.38937496186913007,1.0,0.0,"in hormonal birth control, why don't the placebo pills cause a woman's natural cycle to start?"
106,3,a,scicomma-3.1-dpo_prompt,0.3083970099320241,0.5315086030509472,0.223111593118923,1.0,0.0,"besides lightning, what are some ways that fire can occur naturally on earth?"
107,3,a,scicomma-3.1-dpo_prompt,0.3073037901894543,0.5464588749889038,0.2391550847994495,1.0,0.0,how common is prion resistance/immunity in humans?
108,3,a,scicomma-3.1-dpo_prompt,0.06106825215217404,0.5282935939868297,0.4672253418346557,0.3486451285660856,0.4073334000459302,how do we know black holes aren't just massively compacted objects that aren't singularities?
110,3,b,scicomma-3.1-dpo_prompt,0.10226346380475265,0.5402036804517277,0.4379402166469751,0.4073334000459302,0.0159063894667497,"if something is infinite, is it also necessarily exhaustive? is the ""infinite monkeys on typewriters will write shakespeare"" trope true?"
111,3,b,scicomma-3.1-dpo_prompt,0.30948302053247867,0.49031470464618176,0.18083168411370307,1.0,0.0,"what causes ""rogue hairs"" that grow on your body?"
112,3,b,scicomma-3.1-dpo_prompt,0.21733081747626565,0.5780896481804104,0.3607588307041448,1.0,0.0420877286665694,"is there a definitive moment where you transition from ""awake"" to ""asleep""? what happens at that time, if it exists?"
116,3,a,scicomma-3.1-dpo_prompt,0.05745762802748461,0.5434529380679612,0.48599531004047664,0.7057850340255386,0.0,how many 'frames per second' can the eye see?
117,3,b,scicomma-3.1-dpo_prompt,0.03175153512450957,0.6077499885181576,0.5759984533936481,0.9149009503523292,0.2450850021044189,when a new isp is started (e.g. google fibre) what do they connect to to join the world wide web?
